uid,building_name,location,latitude,longitude,pdf_location
4,Benning Heights,"4806 Alabama Ave SE, Washington, DC 20019",38.8820337,-76.9393326,BenningHeights2013.pdf
16,Hedin House,"2900 Newton St NE, Washington, DC 20018",38.934367,-76.966386,HedinHouse05-12.pdf
